question,query,some_tables_in_query,only_relevant_tables,no_relevant_tables,founded_tables,method
"Wie lauten die Namen der verschiedenen Autohersteller, die im Jahr 1970 ein Auto produziert haben?",SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';,True,False,False,['car_makers'],cross-encoder
"Welches ist der Autohersteller, das im frühesten Jahr produziert wurde, und welches Jahr war es?","SELECT T2.Make ,  T1.Year FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Year  =  (SELECT min(YEAR) FROM CARS_DATA);",False,False,False,['car_makers'],cross-encoder
Wie viele Autohersteller gibt es auf jedem Kontinent? Geben Sie den Namen des Kontinents und die Anzahl an.,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;",True,False,False,['car_makers'],cross-encoder
Wie lauten die Namen der einzelnen Kontinente und wie viele Autohersteller gibt es auf jedem Kontinent?,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;",True,False,False,"['continents', 'car_makers']",cross-encoder
In welchem der Länder gibt es die meisten Autohersteller? Führen Sie den Namen des Landes auf.,SELECT T2.CountryName FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId GROUP BY T1.Country ORDER BY Count(*) DESC LIMIT 1;,True,False,False,"['countries', 'car_makers']",cross-encoder
Wie viele Automodelle werden von jedem Hersteller produziert? Geben Sie nur die Anzahl und den vollständigen Namen des Herstellers an.,"select count(*) ,  t2.fullname from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;",False,False,False,"['manufacturer', 'manufacturer']",cross-encoder
"Wie viele Automodelle werden von jedem Hersteller produziert, und wie lauten die ID und der vollständige Name jedes Herstellers?","SELECT Count(*) ,  T2.FullName ,  T2.id FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id GROUP BY T2.id;",False,False,False,['manufacturer'],cross-encoder
Wie viele Autohersteller gibt es in Frankreich?,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';,True,False,False,['car_makers'],cross-encoder
Wie hoch ist die Zahl der Autohersteller in Frankreich?,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';,True,False,False,['car_makers'],cross-encoder
Welches sind alle Hersteller und Modelle?,"SELECT Maker ,  Model FROM MODEL_LIST;",False,False,False,['manufacturer'],cross-encoder
Welches sind die Hersteller und Modelle?,"SELECT Maker ,  Model FROM MODEL_LIST;",False,False,False,['manufacturer'],cross-encoder
In welchen Ländern gibt es mindestens einen Autohersteller? Name und ID der Liste.,"SELECT T1.CountryName ,  T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >=  1;",True,False,False,"['car_makers', 'list']",cross-encoder
"Wie lauten die Namen und IDs aller Länder, in denen es mindestens einen Autohersteller gibt?","SELECT T1.CountryName ,  T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >=  1;",True,False,False,"['countries', 'car_makers']",cross-encoder
Welche Länder in Europa haben mindestens 3 Autohersteller?,SELECT T1.CountryName FROM COUNTRIES AS T1 JOIN CONTINENTS AS T2 ON T1.Continent  =  T2.ContId JOIN CAR_MAKERS AS T3 ON T1.CountryId  =  T3.Country WHERE T2.Continent  =  'europe' GROUP BY T1.CountryName HAVING count(*)  >=  3;,True,False,False,"['countries', 'car_makers']",cross-encoder
Wie lauten die Namen aller europäischen Länder mit mindestens 3 Herstellern?,SELECT T1.CountryName FROM COUNTRIES AS T1 JOIN CONTINENTS AS T2 ON T1.Continent  =  T2.ContId JOIN CAR_MAKERS AS T3 ON T1.CountryId  =  T3.Country WHERE T2.Continent  =  'europe' GROUP BY T1.CountryName HAVING count(*)  >=  3;,True,False,False,['countries'],cross-encoder
Wie viele Automodelle wurden vom Hersteller mit dem vollen Namen American Motor Company hergestellt?,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker WHERE T1.FullName  =  'American Motor Company';,False,False,False,['manufacturer'],cross-encoder
Wie viele Automodelle hat der Autohersteller American Motor Company hergestellt?,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker WHERE T1.FullName  =  'American Motor Company';,True,False,False,['car_makers'],cross-encoder
Welche Hersteller haben mehr als 3 Automodelle entworfen? Geben Sie den vollständigen Namen und die ID an.,"SELECT T1.FullName ,  T1.Id FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >  3;",False,False,False,['manufacturer'],cross-encoder
Wie lauten die Namen und IDs aller Hersteller mit mehr als 3 Modellen?,"SELECT T1.FullName ,  T1.Id FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >  3;",False,False,False,['manufacturer'],cross-encoder
"Was sind die verschiedenen Modelle, die entweder vom Autohersteller General Motors hergestellt werden oder mehr als 3500 wiegen?",SELECT DISTINCT T2.Model FROM CAR_NAMES AS T1 JOIN MODEL_LIST AS T2 ON T1.Model  =  T2.Model JOIN CAR_MAKERS AS T3 ON T2.Maker  =  T3.Id JOIN CARS_DATA AS T4 ON T1.MakeId  =  T4.Id WHERE T3.FullName  =  'General Motors' OR T4.weight  >  3500;,True,False,False,['car_makers'],cross-encoder
Wie viele Autos haben eine größere Beschleunigung als das Auto mit der größten Pferdestärke?,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,False,False,False,['Sizes'],cross-encoder
Wie viele Autos haben eine größere Beschleunigung als das Auto mit den meisten Pferdestärken?,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,False,False,False,['Sizes'],cross-encoder
In wie vielen Ländern gibt es mehr als 2 Autohersteller?,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,True,False,False,['car_makers'],cross-encoder
Wie hoch ist die Zahl der Länder mit mehr als 2 Autoherstellern ?,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,True,False,False,['countries'],cross-encoder
"Welches sind die verschiedenen Modelle, die leichter als 3500 sind, aber nicht von der 'Ford Motor Company' gebaut wurden?",SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,False,False,False,['building'],cross-encoder
"Wie lauten die Namen der Länder, in denen es keinen einzigen Autohersteller gibt?",SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,True,False,False,"['countries', 'car_makers']",cross-encoder
"Wie lauten die Namen der Länder, in denen es keine Autohersteller gibt?",SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,True,False,False,"['countries', 'car_makers']",cross-encoder
"Welches sind die Autohersteller, die mindestens 2 Modelle und mehr als 3 Autohersteller produzieren? Führen Sie die ID und den Hersteller auf.","select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker group by t1.id having count(*)  >=  2 intersect select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker join car_names as t3 on t2.model  =  t3.model group by t1.id having count(*)  >  3;",True,False,False,"['car_makers', 'car_makers', 'manufacturer']",cross-encoder
"Welches sind die IDs und Hersteller aller Autohersteller, die mindestens 2 Modelle und mehr als 3 Autos herstellen?","SELECT T1.Id ,  T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >=  2 INTERSECT SELECT T1.Id ,  T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model GROUP BY T1.Id HAVING count(*)  >  3;",True,False,False,"['manufacturer', 'car_makers']",cross-encoder
"Was sind die IDs und die Namen der Länder, die mehr als 3 Autohersteller haben oder das ""Fiat""-Modell produzieren?","SELECT T1.countryId ,  T1.CountryName FROM Countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.countryId HAVING count(*)  >  3 UNION SELECT T1.countryId ,  T1.CountryName FROM Countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country JOIN MODEL_LIST AS T3 ON T2.Id  =  T3.Maker WHERE T3.Model  =  'fiat';",True,False,False,"['countries', 'car_makers']",cross-encoder
"Wie lauten die IDs und Namen aller Länder, die entweder mehr als 3 Autohersteller haben oder Fiat-Modelle herstellen?","select t1.countryid ,  t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  3 union select t1.countryid ,  t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country join model_list as t3 on t2.id  =  t3.maker where t3.model  =  'fiat';",True,False,False,"['countries', 'car_makers']",cross-encoder
"Zu welchem Land gehört die Fluggesellschaft ""JetBlue Airways""?","SELECT Country FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""",True,False,False,"['country', 'airlines']",cross-encoder
"Zu welchem Land gehört die Fluggesellschaft ""JetBlue Airways""?","SELECT Country FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""",True,False,False,"['country', 'airlines']",cross-encoder
"Wie lautet die Abkürzung der Fluggesellschaft ""JetBlue Airways""?","SELECT Abbreviation FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""",True,False,False,['airlines'],cross-encoder
